ObjectID,GlobalID,Date and Start Time,Observer Name,Transect ID,Visit #,Sky Start,Sky End,Wind Start,Wind End,Start Temperature,End Temperature,CreationDate,Creator,EditDate,Editor,x,y
48,fc246b98-ce02-4d39-8418-3270bd92f7b5,6/16/2022 12:17:00 PM,eliza wesemann,UT-C19,2,0,0,0,3,45,65,6/20/2022 2:39:15 AM,carter_ruger,6/20/2022 2:39:15 AM,carter_ruger,-113.610411395206,41.952699993304
49,6a05c541-5800-4f20-90ff-fd154d91a01c,6/17/2022 1:30:00 PM,eliza wesemann,UT-B8,2,0,0,3,5,45,70,6/20/2022 2:39:16 AM,carter_ruger,6/20/2022 2:39:16 AM,carter_ruger,-114.002334817023,41.7754738751281
50,1749d3c4-49a6-4d1c-968a-518e96c0f63e,6/13/2022 12:55:00 PM,Ruger Carter,ID-C9,1,2,2,2,2,44,47,6/20/2022 10:41:56 PM,carter_ruger,6/20/2022 10:41:56 PM,carter_ruger,-113.887201410552,42.0104461181001
51,64412985-42e4-45e3-a0fb-0f3a455fa52b,6/14/2022 12:43:00 PM,Ruger Carter,UT-C5,2,0,0,1,2,29,49,6/20/2022 10:41:58 PM,carter_ruger,6/20/2022 10:41:58 PM,carter_ruger,-113.943164466071,41.5270915461294
52,0060d66c-d0a5-4252-904b-4d56b13f9a35,6/16/2022 12:25:00 PM,Ruger Carter,UT-C27,1,0,0,1,3,43,71,6/20/2022 10:41:59 PM,carter_ruger,6/20/2022 10:41:59 PM,carter_ruger,-114.0096725,41.9455366666667
53,2de72f8b-3711-4bbe-8764-5a32287d099e,6/20/2022 1:29:00 PM,Ruger Carter,ID-B9,2,2,1,2,2,45,66,6/20/2022 10:42:00 PM,carter_ruger,6/20/2022 10:42:00 PM,carter_ruger,-113.930646622591,41.9979026756864
54,928d0e9d-6882-42a4-8893-a5258d7ef84d,6/20/2022 12:53:00 PM,Rory Eggleston,UT-B30,V2,2,2,2,3,45,48,6/21/2022 1:54:46 PM,reggleston,6/21/2022 1:54:46 PM,reggleston,-114.010421633827,41.8673920585233
55,3fb72ad1-2dc8-4d42-a324-764552cd34c1,6/20/2022 12:13:00 PM,Eoin,B27,2,2,1,0,2,45,55,6/27/2022 1:17:19 AM,reggleston,6/27/2022 1:17:19 AM,reggleston,-114.035254103664,41.8920980038874
56,17060690-e4b1-4c59-a278-37e0cd363df5,6/21/2022 12:58:00 PM,Eoin,C3,1,0,0,1,1,35,60,6/27/2022 1:17:21 AM,reggleston,6/27/2022 1:17:21 AM,reggleston,-113.235580406307,42.0920895643333
57,6fc1c2e7-b634-434f-b524-be87aa2b9c62,6/23/2022 12:26:00 PM,Eoin,ID-B15,1,0,1,0,0,55,65,6/27/2022 1:17:22 AM,reggleston,6/27/2022 1:17:22 AM,reggleston,-113.900483520679,42.0562700339512
58,66608b73-3e9f-45c0-84bc-2a243ca13319,6/24/2022 12:32:00 PM,Eoin,C24,3,2,0,1,0,55,65,6/27/2022 1:17:23 AM,reggleston,6/27/2022 1:17:23 AM,reggleston,-113.948769961546,41.7839933767774
59,86d45d25-47aa-493d-9e78-b5b3cbbbd403,6/24/2022 3:25:00 PM,Eoin,C8,3,0,0,1,2,65,70,6/27/2022 1:17:24 AM,reggleston,6/27/2022 1:17:24 AM,reggleston,-113.96858760593,41.7881315024039
60,cc3063f2-d39e-4e2e-a5ea-3d55e6746846,6/20/2022 12:39:00 PM,eliza wesemann ,ID-C9,2,1,1,1,0,35,50,6/27/2022 10:27:57 AM,carter_ruger,6/27/2022 10:27:57 AM,carter_ruger,-113.885615378389,42.0078196165702
61,233ed72e-d8f0-47a9-bc60-0506a3466437,6/21/2022 1:34:00 PM,eliza wesemann,ID-B7,1,0,0,0,0,40,60,6/27/2022 10:27:58 AM,carter_ruger,6/27/2022 10:27:58 AM,carter_ruger,-113.445864432913,42.1155903274634
62,684b5c5c-5077-4366-92f5-2ae330094140,6/22/2022 1:05:00 PM,eliza wesemann ,ID-C19,1,0,0,0,0,50,70,6/27/2022 10:27:59 AM,carter_ruger,6/27/2022 10:27:59 AM,carter_ruger,-114.043143021334,42.2049276174272
63,746b8e57-ae51-4642-b842-a8ed1ab3acf4,6/23/2022 3:42:00 PM,eliza wesemann ,ID-B12,1,0,0,0,0,40,70,6/27/2022 10:28:00 AM,carter_ruger,6/27/2022 10:28:00 AM,carter_ruger,-113.87077253659,42.1060442128075
64,eb2980ad-e7f2-4a82-a605-838552a54e6a,6/22/2022 1:02:00 PM,Ruger Carter,ID-B16,1,0,0,1,1,55,70,6/28/2022 12:28:11 PM,carter_ruger,6/28/2022 12:28:11 PM,carter_ruger,-113.991339168799,42.2714130252204
65,081c7bd4-10ef-4e2b-9005-694aeeef34bd,6/23/2022 12:58:00 PM,Ruger Carter,ID-C12,1,0,1,1,2,44,65,6/28/2022 12:28:13 PM,carter_ruger,6/28/2022 12:28:13 PM,carter_ruger,-113.874561833351,42.1203456944103
66,a3b22966-5124-482b-baaf-1542c24a3bf8,6/27/2022 12:39:00 PM,Ruger Carter,ID-C28,1,0,0,1,1,43,68,6/28/2022 12:28:14 PM,carter_ruger,6/28/2022 12:28:14 PM,carter_ruger,-113.760776852857,42.0891435292966
67,305b3beb-3362-4cf1-b724-89bd73e5d7de,6/22/2022 3:37:00 PM,Rory Eggleston,ID-B19,V1,0,1,1,1,67,80,7/12/2022 7:03:29 PM,reggleston,7/12/2022 7:03:29 PM,reggleston,-114.038771325829,42.2270422988033
68,b89640e4-be6e-4c82-97e8-8b04a5a5da35,6/27/2022 12:57:00 PM,Rory Eggleston,ID-B11,V1,0,0,0,0,55,100,7/12/2022 7:03:30 PM,reggleston,7/12/2022 7:03:30 PM,reggleston,-113.447015164526,42.0982453460266
