"","Full.Point.ID","Route.ID","Route.Type","Sage.Cover","Perennial.Cover","Elevation","Burn.Sevarity","Aspect","Fire.Name","Fire.Year","Fire.Distance"
"158","ID-B19-P14","ID-B19","B",7.21818181818182,54.9090909090909,2006.24442915483,0,-1,"Cave Canyon",2012,88.9927190144857
"159","ID-B19-P15","ID-B19","B",9.54545454545454,49.9818181818182,2000.87019930753,0,-1,"Cave Canyon",2012,1e+06
"160","ID-B19-P16","ID-B19","B",5.58490566037736,58.1320754716981,1990.3455411044,0,-1,"Cave Canyon",2012,1e+06
"161","ID-B21-P01","ID-B21","B",1.56363636363636,42.0909090909091,1545.2841389974,2,-1,"Black Pine 2",2007,141.414575713021
"162","ID-B21-P02","ID-B21","B",1.98148148148148,44.2222222222222,1532.07036699568,2,-1,"Black Pine 2",2007,144.358449118478
"163","ID-B21-P03","ID-B21","B",1,45.4363636363636,1521.13751220703,2,-1,"Black Pine 2",2007,152.641702270508
"164","ID-B21-P04","ID-B21","B",1.23214285714286,43.3928571428571,1511.30952058015,2,-1,"Black Pine 2",2007,156.943487238001
"165","ID-B21-P05","ID-B21","B",1.90909090909091,44.4909090909091,1534.42388805043,2,-1,"Black Pine 2",2007,381.456710537997
"166","ID-B21-P06","ID-B21","B",1.80357142857143,41.3928571428571,1524.70581926618,2,-1,"Black Pine 2",2007,382.183642578125
"167","ID-B21-P07","ID-B21","B",0.851851851851852,39.0185185185185,1512.78368719693,2,-1,"Black Pine 2",2007,398.832688551683
"168","ID-B21-P08","ID-B21","B",1.05357142857143,31.7678571428571,1503.80994330512,1,-1,"Black Pine 2",2007,385.714528031783
"169","ID-B21-P09","ID-B21","B",1.70909090909091,31.0181818181818,1527.92106345848,2,-1,"Black Pine 2",2007,622.478892399715
"170","ID-B21-P10","ID-B21","B",1.25,30.7115384615385,1514.71786612052,2,-1,"Black Pine 2",2007,619.809513798466
"171","ID-B21-P11","ID-B21","B",1.05555555555556,30.2407407407407,1505.22709517045,2,-1,"Black Pine 2",2007,635.423039106889
"172","ID-B21-P12","ID-B21","B",0.298245614035088,38.0526315789474,1497.00904224537,2,-1,"Black Pine 2",2007,505.739788818359
"173","ID-B21-P13","ID-B21","B",1.78571428571429,32.9107142857143,1520.86977631191,2,-1,"Black Pine 2",2007,860.391684898963
