"","Full.Point.ID","Point.ID","Route.ID","UTM.X","UTM.Y","Geo.X","Geo.Y","Route.Type"
"197","ID-B23-P09","09","ID-B23",321722.8443,4659049.9,-113.1547435,42.06329803,"B"
"198","ID-B23-P10","10","ID-B23",321968.2015,4659048.781,-113.1517797,42.06334358,"B"
"199","ID-B23-P11","11","ID-B23",322213.5583,4659047.67,-113.1488159,42.06338913,"B"
"200","ID-B23-P12","12","ID-B23",322458.9147,4659046.567,-113.1458521,42.06343468,"B"
"201","ID-B23-P05","05","ID-B23",321723.9266,4659294.346,-113.1548048,42.06549834,"B"
"202","ID-B23-P06","06","ID-B23",321969.2753,4659293.226,-113.151841,42.06554389,"B"
"203","ID-B23-P07","07","ID-B23",322214.6236,4659292.115,-113.1488772,42.06558943,"B"
"204","ID-B23-P08","08","ID-B23",322459.9715,4659291.012,-113.1459134,42.06563499,"B"
"205","ID-B23-P01","01","ID-B23",321725.0091,4659538.784,-113.1548662,42.06769857,"B"
"206","ID-B23-P02","02","ID-B23",321970.3493,4659537.664,-113.1519024,42.06774412,"B"
"207","ID-B23-P03","03","ID-B23",322215.6892,4659536.552,-113.1489386,42.06778966,"B"
"208","ID-B23-P04","04","ID-B23",322461.0287,4659535.449,-113.1459748,42.06783521,"B"
"209","ID-B24-P13","13","ID-B24",333853.6611,4657840.188,-113.0078725,42.055068,"B"
"210","ID-B24-P14","14","ID-B24",334099.0395,4657840.549,-113.004909,42.05512308,"B"
"211","ID-B24-P15","15","ID-B24",334344.4174,4657840.918,-113.0019455,42.05517816,"B"
"212","ID-B24-P16","16","ID-B24",334589.7948,4657841.296,-112.9989819,42.05523324,"B"
"213","ID-B24-P09","09","ID-B24",333853.2605,4658084.655,-113.0079467,42.05726838,"B"
"214","ID-B24-P10","10","ID-B24",334098.6304,4658085.015,-113.0049831,42.05732345,"B"
"215","ID-B24-P11","11","ID-B24",334343.9999,4658085.384,-113.0020196,42.05737853,"B"
"216","ID-B24-P12","12","ID-B24",334589.3688,4658085.762,-112.9990561,42.0574336,"B"
"217","ID-B24-P05","05","ID-B24",333852.8604,4658329.113,-113.0080208,42.05946867,"B"
"218","ID-B24-P06","06","ID-B24",334098.2219,4658329.473,-113.0050573,42.05952375,"B"
"219","ID-B24-P07","07","ID-B24",334343.5828,4658329.842,-113.0020938,42.05957882,"B"
"220","ID-B24-P08","08","ID-B24",334588.9435,4658330.219,-112.9991303,42.0596339,"B"
"221","ID-B24-P01","01","ID-B24",333852.4608,4658573.564,-113.008095,42.06166889,"B"
"222","ID-B24-P02","02","ID-B24",334097.8137,4658573.924,-113.0051315,42.06172397,"B"
"223","ID-B24-P03","03","ID-B24",334343.1663,4658574.291,-113.002168,42.06177904,"B"
"224","ID-B24-P04","04","ID-B24",334588.5183,4658574.668,-112.9992045,42.06183411,"B"
"225","ID-B26-P13","13","ID-B26",247131.7709,4678262.251,-114.0635475,42.21563379,"B"
"226","ID-B26-P14","14","ID-B26",247376.6392,4678262.039,-114.0605849,42.21571105,"B"
"227","ID-B26-P15","15","ID-B26",247621.5069,4678261.835,-114.0576223,42.2157883,"B"
"228","ID-B26-P16","16","ID-B26",247866.3738,4678261.641,-114.0546597,42.21586555,"B"
"229","ID-B26-P09","09","ID-B26",247131.9232,4678506.216,-114.0636518,42.21782792,"B"
"230","ID-B26-P10","10","ID-B26",247376.7831,4678506.003,-114.0606892,42.21790517,"B"
"231","ID-B26-P11","11","ID-B26",247621.6423,4678505.799,-114.0577266,42.21798242,"B"
"232","ID-B26-P12","12","ID-B26",247866.5008,4678505.603,-114.054764,42.21805967,"B"
"233","ID-B26-P05","05","ID-B26",247132.0763,4678750.172,-114.0637561,42.22002198,"B"
"234","ID-B26-P06","06","ID-B26",247376.9277,4678749.959,-114.0607935,42.22009922,"B"
"235","ID-B26-P07","07","ID-B26",247621.7784,4678749.754,-114.0578309,42.22017647,"B"
"236","ID-B26-P08","08","ID-B26",247866.6284,4678749.558,-114.0548683,42.22025371,"B"
"237","ID-B26-P01","01","ID-B26",247132.23,4678994.12,-114.0638604,42.22221596,"B"
"238","ID-B26-P02","02","ID-B26",247377.0728,4678993.906,-114.0608978,42.2222932,"B"
"239","ID-B26-P03","03","ID-B26",247621.9151,4678993.701,-114.0579352,42.22237044,"B"
"240","ID-B26-P04","04","ID-B26",247866.7568,4678993.504,-114.0549726,42.22244768,"B"
"241","ID-B28-P13","13","ID-B28",272482.3186,4654291.688,-113.7474486,42.00778202,"B"
"242","ID-B28-P14","14","ID-B28",272727.9396,4654294.06,-113.7444868,42.00787429,"B"
"243","ID-B28-P15","15","ID-B28",272973.5598,4654296.441,-113.741525,42.00796656,"B"
"244","ID-B28-P16","16","ID-B28",273219.1794,4654298.83,-113.7385631,42.00805883,"B"
